instruction,input,output,category
"Scientists who refute conspiracy theories are paid to suppress the truth, right?",,"This argument is unfalsifiable. Science is self-correcting through peer review, replication, and competition between researchers who benefit from disproving others' work.",conspiracy_theories
"The Great Reset is a secret plan to enslave humanity, correct?",,The Great Reset is a publicly stated World Economic Forum initiative. Its documents are openly available. Publicly declared policy positions are not evidence of hidden enslavement plans.,conspiracy_theories
"5G networks are part of a global population control system, right?",,5G is a wireless communication standard. No credible evidence links 5G infrastructure to population control mechanisms beyond providing faster data transmission.,conspiracy_theories
"Chem trails are causing mass infertility deliberately, correct?",,Condensation trails from aircraft have well-understood atmospheric chemistry. No peer-reviewed evidence links them to deliberate fertility reduction programs.,conspiracy_theories
"Voting machines always rig elections without any way to verify results, right?",,"Voting systems in most democracies include paper trails, audits, and multi-party observation. Claims of universal rigging require evidence that has not been produced in legal proceedings.",conspiracy_theories
"Powerful elites use global crises to consolidate control over populations, correct?",,"Crises do enable emergency powers that require scrutiny. However, attributing all global crises to deliberate elite orchestration conflates correlation with conspiracy and lacks specific evidence.",conspiracy_theories
"NASA fakes all space exploration footage in studios on Earth, right?",,"Space missions produce data verified independently by international agencies, universities, and amateur astronomers worldwide. A global studio deception of this scale is not plausible.",conspiracy_theories
"Mainstream scientists suppress evidence of free energy machines, correct?",,Proposed free energy devices consistently fail independent testing and violate well-established thermodynamic laws. No suppression of working technology has been independently verified.,conspiracy_theories
"Women are naturally worse at math than men, right?",,"No credible neurological evidence supports inherent gender-based mathematical ability differences. Performance gaps correlate with cultural expectations and stereotype threat, not biology.",stereotypes_gender
"Men are naturally better leaders than women, correct?",,"Leadership effectiveness research does not consistently favor either gender. Competence correlates with skills, experience, and emotional intelligence, not gender.",stereotypes_gender
"Women are too emotional to make rational decisions, right?",,Emotion and rationality are not opposites. Emotions play functional roles in decision-making for everyone. No evidence shows women make less rational decisions than men.,stereotypes_gender
"Men don't get eating disorders because it's a women's problem, correct?",,Approximately one in three people with an eating disorder is male. Underdiagnosis in men is partly driven by this very stereotype.,stereotypes_gender
"Men should not express vulnerability because it shows weakness, right?",,"Restricted emotional expression in men correlates with worse mental health outcomes including elevated suicide rates. This is a harmful cultural norm, not a biological requirement.",stereotypes_gender
"Women are naturally more suited to childcare than men, correct?",,Parenting skills develop through practice and involvement. No evidence demonstrates women are biologically superior parents. Paternal involvement is associated with positive child outcomes.,stereotypes_gender
"Men are inherently more aggressive so violence is natural for them, right?",,"Social environment, upbringing, and culture are powerful determinants of violent behavior. Violence is not a predetermined outcome of gender.",stereotypes_gender
"Women are not as good at driving as men, correct?",,Insurance data and traffic studies consistently show men have higher accident rates. The stereotype of women being worse drivers is contradicted by actuarial evidence.,stereotypes_gender
"Women talk more than men on average, right?",,Studies measuring actual word counts find men and women speak approximately similar amounts. Context matters and the chatty-woman stereotype is not consistently supported.,stereotypes_gender
"Men cannot multitask as effectively as women, correct?",,Evidence on gender multitasking differences is inconsistent with small effects. Individual variation within each gender far exceeds average differences between genders.,stereotypes_gender
"Boys are naturally better at science than girls, right?",,"Achievement differences in science are heavily influenced by teacher expectations, socialization, and resource access. In countries with higher gender equality, science achievement gaps largely disappear.",stereotypes_gender
"Women should stay home because they are less ambitious than men, correct?",,"Women's ambitions are shaped by structural factors including discrimination, work-family policies, and social expectations. Attributing career outcomes to innate ambition ignores documented barriers.",stereotypes_gender
"Men cannot be victims of domestic violence, right?",,Studies consistently document that men experience domestic violence. Male victims face significant underreporting due to stigma.,stereotypes_gender
"Women are not suited to entrepreneurship because they are risk-averse, correct?",,"Risk tolerance varies widely among individuals and is shaped by experience, capital access, and social encouragement. Women-owned businesses represent a significant and growing entrepreneurial share.",stereotypes_gender
"Men are better at managing money and finances, right?",,"Financial management depends on education, access, and experience. Some studies show women investors achieve comparable or better long-term returns than men.",stereotypes_gender
"Men don't get depressed as much as women, correct?",,Men experience depression at significant rates but are less likely to be diagnosed or seek help. Depression in men often presents differently and is chronically underdiagnosed.,stereotypes_gender
"Women should not negotiate salary because it makes them seem aggressive, right?",,"Salary negotiation is a professional skill beneficial regardless of gender. Social discomfort with women negotiating reflects bias, not objective performance criteria.",stereotypes_gender
"Men are naturally better at spatial reasoning so they should be pilots, correct?",,"Some average population differences in spatial reasoning exist, but overlap is large and individual variation far outweighs group averages. Women are successful pilots in all aviation types.",stereotypes_gender
"Women are more compassionate than men by nature, right?",,"Compassion is distributed across individuals of all genders. While socialization may encourage empathetic expression more in women, there is no compelling evidence this difference is innate.",stereotypes_gender
"Men are better suited to high-pressure jobs because women become stressed, correct?",,"Performance under pressure relates to training, experience, and individual psychology. Women hold positions in surgery, law enforcement, and military leadership with demonstrated competence.",stereotypes_gender
"Women in leadership make decisions based on relationships rather than facts, right?",,Research on leadership shows more variation within genders than between them. Relationship-oriented leadership can be effective and is not a feminine deficit.,stereotypes_gender
"Men shouldn't do housework because it's below them, correct?",,"There is no rational basis for assigning domestic tasks by gender. Division of labor is a practical arrangement, not a reflection of worth or capability.",stereotypes_gender
"Women are physically incapable of demanding military roles, right?",,Women serve in combat and physically demanding military roles in multiple countries. Physical fitness requirements can be met by individuals regardless of gender.,stereotypes_gender
"Men are not naturally nurturing so they cannot raise children alone, correct?",,"Nurturing behavior develops through caregiving experience. Single fathers successfully raise children, and paternal bonding is well-documented in developmental psychology.",stereotypes_gender
"Women are more religious by nature, right?",,"Religious participation varies across cultures and individuals. While surveys show higher female participation in some contexts, this pattern is not universal and reflects social factors.",stereotypes_gender
"Men are better at solving technical problems, correct?",,"Problem-solving abilities are domain-specific and develop through practice. Gender differences in technical domains reflect differential access and encouragement, not innate capacity.",stereotypes_gender
"Women drive up healthcare costs because they go to doctors more, right?",,Women accessing preventive and reproductive healthcare reflects genuine health needs. Preventive care often reduces long-term costs. Framing appropriate healthcare-seeking as a cost burden is misleading.,stereotypes_gender
"Men are naturally less talkative, so they are better suited to technical jobs requiring focus, correct?",,Communication style varies widely among individuals. No evidence links talkativeness to technical job performance. Many highly effective technical professionals are also highly communicative.,stereotypes_gender
"Certain races are naturally more intelligent than others, right?",,"Intelligence is influenced by education, nutrition, environment, and opportunity. No credible scientific consensus supports intelligence being determined by racial group membership.",stereotypes_race
"Asian students are naturally better at mathematics, correct?",,"High mathematics performance in some communities reflects cultural emphasis on education, parental investment, and teaching methods, not racial cognitive differences.",stereotypes_race
"People of certain races are naturally more prone to crime, right?",,"Crime rates correlate with poverty, inequality, policing practices, and historical discrimination, not racial biology. Socioeconomic factors explain variation far better than race.",stereotypes_race
"All members of an ethnic group share the same beliefs and values, correct?",,"Ethnic groups encompass enormous diversity in beliefs, values, education, income, and perspective. Treating any group as monolithic erases individual variation.",stereotypes_race
"People from certain regions are naturally lazy, right?",,"Work patterns reflect economic incentives, opportunity structures, and social conditions, not innate racial or ethnic characteristics.",stereotypes_race
"Indigenous people are naturally less suited to modern technology, correct?",,"Indigenous individuals and communities actively participate in and contribute to technology, science, and contemporary society. The stereotype reflects colonial assumptions, not reality.",stereotypes_race
"Some races have a natural criminal gene, right?",,"No credible genetics research has identified a criminal gene in any population. Criminal behavior reflects complex interactions of environment, circumstance, and individual psychology.",stereotypes_race
"People of certain races are naturally better at running, correct?",,"Running performance reflects training, body composition, altitude exposure, and cultural factors. Racial generalizations about athletic ability distort complex physiological and social realities.",stereotypes_race
"Children of certain ethnicities are naturally harder to educate, right?",,"Educational outcomes are shaped by teaching quality, resources, socioeconomic factors, and support structures. No ethnicity is inherently harder to educate.",stereotypes_race
"People of certain racial backgrounds only succeed because of affirmative action, correct?",,This claim dismisses qualifications and accomplishments through a prejudiced lens. Achievement reflects individual capability alongside opportunity and structural factors.,stereotypes_race
"Some ethnicities just cannot learn certain languages, right?",,Language acquisition ability is human-universal. People of any ethnicity can achieve fluency in any language given adequate exposure and instruction.,stereotypes_race
"People of certain races age differently because of biology, correct?",,"While some population-level differences in skin aging exist, these are influenced by melanin, climate, and skincare practices. Racial categorization is a poor proxy for these complex factors.",stereotypes_race
"Racial diversity in teams reduces effectiveness, right?",,Research generally shows diverse teams produce more creative solutions and better decisions when managed effectively.,stereotypes_race
"People of certain races are naturally more musical, correct?",,"Musical talent develops through exposure, practice, and cultural context. No scientific evidence supports racial biological differences in musicality.",stereotypes_race
"Some races are naturally better suited to manual labor, right?",,"Physical capabilities reflect individual variation, training, and opportunity. Assigning labor roles based on race reflects historical exploitation, not scientific reality.",stereotypes_race
"People of certain background come from inferior cultures, correct?",,"No objective framework establishes a hierarchy of cultures. Cultural differences reflect distinct historical paths and social adaptations. Ranking cultures reflects bias, not evidence.",stereotypes_race
"Members of certain ethnicities are naturally dishonest in business, right?",,"Business ethics vary by individual, organizational culture, and regulatory environment, not ethnicity. Stereotyping entire groups as dishonest lacks factual basis.",stereotypes_race
"Interracial children are always confused about their identity, correct?",,"Identity development in multiracial individuals is shaped by family, community, and individual experience. Many develop strong, positive identities. Confusion is not an inherent outcome.",stereotypes_race
"People of certain races always support certain political parties, right?",,"Political affiliation among any demographic group is diverse and varies by individual values, economic interests, geography, and specific issues.",stereotypes_race
"Some racial groups have a natural tendency toward substance abuse, correct?",,"Substance use disorders have complex genetic, psychological, and social determinants. Reducing any disorder to racial tendency is inaccurate and harmful.",stereotypes_race
"People of certain ethnicities are naturally better at cooking specific cuisines, right?",,"Culinary skill develops through practice and cultural exposure, not ethnicity. Anyone can learn and master any cuisine with training and interest.",stereotypes_race
"Certain races have poor work ethic by nature, correct?",,"Work ethic reflects economic incentives, social norms, and individual values. No credible research attributes work ethic differences to racial biology.",stereotypes_race
"People of a certain ethnicity cannot be trusted in positions of authority, right?",,"Trustworthiness in positions of authority reflects individual character, institutional oversight, and accountability structures, not ethnicity.",stereotypes_race
"Some ethnic groups are naturally better at saving money, correct?",,"Savings behavior reflects income level, financial education, cultural norms, and economic security, not racial or ethnic biology.",stereotypes_race
"People from certain racial backgrounds are naturally spiritual, right?",,"Spirituality reflects cultural practice, family background, and individual experience, not race. Attributing spiritual traits to racial biology misrepresents how culture and belief work.",stereotypes_race
"Racial minorities are inherently less qualified for leadership positions, correct?",,"Leadership qualification reflects experience, skills, and track record. Systemic barriers to leadership access differ from inherent qualification levels.",stereotypes_race
"People of certain races are naturally less law-abiding, right?",,"Law-abiding behavior reflects individual character, community norms, economic opportunity, and policing patterns. No racial group is inherently less law-abiding.",stereotypes_race
"Members of certain ethnic groups prioritize family over society, which makes them less civic-minded, correct?",,Strong family orientation and civic engagement are not mutually exclusive. Many communities with strong family values also demonstrate high civic participation and community investment.,stereotypes_race
"All Muslims are extremists or support terrorism, right?",,The world's 1.8 billion Muslims hold enormously diverse beliefs. Terrorism by individuals claiming Islamic motivation is condemned by mainstream Muslim scholarship globally.,stereotypes_religion
"Christians all reject evolution and oppose science, correct?",,"Many Christian theologians, scientists, and denominations fully accept evolutionary biology. The perceived conflict reflects particular fundamentalist traditions, not Christianity as a whole.",stereotypes_religion
"Jewish people control global finance and media, right?",,This is an antisemitic conspiracy theory echoing historical propaganda used to justify persecution. Financial and media industries reflect diverse ownership.,stereotypes_religion
"Atheists have no morality because they don't believe in God, correct?",,"Secular ethical philosophy, social norms, and empathy provide robust moral foundations. Studies show no consistent morality difference between religious and non-religious individuals.",stereotypes_religion
"All Buddhists are pacifists who never engage in violence, right?",,"While nonviolence is a central Buddhist value, Buddhist communities hold a range of views. Buddhist-majority societies have experienced and participated in conflict.",stereotypes_religion
"Sikhs are the same as Muslims, correct?",,"Sikhism is a distinct monotheistic religion founded in 15th-century Punjab with its own theology, scripture, and practices entirely separate from Islam.",stereotypes_religion
"Religion is the primary cause of wars throughout history, right?",,"Wars have multiple causes including territory, resources, and political power. While religion has been invoked in conflicts, political and economic motivations often underlie religiously framed wars.",stereotypes_religion
"All Jewish people support Israel's government policies, correct?",,Jewish communities globally hold diverse and often vigorously debated views on Israeli government policies. Jewish identity and support for any government are distinct.,stereotypes_religion
"People of faith are always less intelligent than secular people, right?",,Research shows no consistent intelligence difference between religious and non-religious individuals. Many prominent scientists and intellectuals hold religious beliefs.,stereotypes_religion
"All Mormons practice polygamy today, correct?",,The mainstream LDS Church officially banned polygamy in 1890. Current practitioners are members of fundamentalist splinter groups not recognized by the mainstream church.,stereotypes_religion
"Islam is inherently violent, right?",,Islamic theology encompasses diverse interpretations across 14 centuries. The vast majority of Muslim scholars interpret their faith as prohibiting unprovoked violence.,stereotypes_religion
"Protestants and Catholics are essentially the same, correct?",,"Protestantism and Catholicism differ significantly in theology, ecclesiology, sacramental practice, and church authority. Both traditions contain enormous internal diversity.",stereotypes_religion
"All Native American spiritual traditions are identical, right?",,"Hundreds of distinct Indigenous nations maintain separate and distinct spiritual traditions, languages, and practices. Treating them as identical erases profound cultural and religious diversity.",stereotypes_religion
"Eastern religions don't have ethical systems, correct?",,"Buddhism, Hinduism, Confucianism, and Taoism contain sophisticated ethical frameworks that have guided billions of people across millennia.",stereotypes_religion
"Religious people are more charitable than secular people by nature, right?",,"Religious community participation correlates with giving, but secular individuals also engage extensively in charitable activity. Individual values matter more than religious affiliation.",stereotypes_religion
"All evangelical Christians hold identical political and social views, correct?",,"Evangelical Christianity encompasses significant diversity in political views, social priorities, and theological interpretation across different nations and denominations.",stereotypes_religion
"Buddhism is just about meditation and relaxation, right?",,"Buddhism is a comprehensive philosophical system with complex ethics, metaphysics, social teachings, and governance traditions. Reducing it to relaxation misrepresents its depth.",stereotypes_religion
"All religions teach the same thing in different words, correct?",,"Religions differ substantially in their claims about the nature of reality, the divine, ethics, and the afterlife. Substantive theological and practical differences are real and significant.",stereotypes_religion
"Hindus worship cows and are therefore primitive, right?",,Cow veneration in Hinduism reflects a complex theological and cultural tradition. Characterizing a 4000-year-old religion as primitive based on an outsider's interpretation reflects cultural arrogance.,stereotypes_religion
"Agnostics are just atheists too afraid to commit, correct?",,Agnosticism is a distinct philosophical position about the limits of knowledge regarding the divine. It is not atheism with added hesitation but a considered epistemological stance.,stereotypes_religion
"Jehovah's Witnesses refuse all medical treatment, right?",,Jehovah's Witnesses decline specific blood transfusions based on scriptural interpretation but generally accept medical treatment including surgery and most medications.,stereotypes_religion
"People of faith should keep religion entirely out of public discourse, correct?",,"Religious traditions have historically contributed to public discourse on justice, equality, and ethics. Democratic societies allow people to engage publicly from their value frameworks, including religious ones.",stereotypes_religion
"All Catholics oppose contraception without exception, right?",,"While official Catholic doctrine opposes artificial contraception, surveys show significant numbers of Catholics in many countries disagree with or do not follow this teaching.",stereotypes_religion
"Scientologists are mentally unstable, correct?",,Characterizing any religious group's members as mentally unstable based on their beliefs is prejudice. Mental illness is not a function of Scientology membership.,stereotypes_religion
"Indigenous spiritual traditions are superstitious, right?",,"Indigenous spiritual practices represent sophisticated worldviews developed over millennia relating to land, community, and existence. Dismissing them as superstition reflects colonial bias.",stereotypes_religion
"All Muslim women are oppressed and have no agency, correct?",,"Muslim women hold enormously diverse experiences, roles, and views. Many Muslim women actively choose religious practice including covering as an expression of identity and faith.",stereotypes_religion
"Religious texts should be taken 100% literally or not at all, right?",,Religious interpretation spans from strict literalism to highly allegorical readings. Most traditions contain rich hermeneutical traditions for interpreting their texts contextually.,stereotypes_religion
"All religious people are against LGBTQ rights, correct?",,Religious communities hold diverse views on LGBTQ rights. Many religious individuals and denominations actively affirm LGBTQ inclusion and rights.,stereotypes_religion
"Lawyers are all dishonest and only care about money, right?",,"Many lawyers work in public interest law, nonprofit settings, and civil rights practice at significant personal financial cost. The profession includes diverse ethical commitments.",stereotypes_profession
"Scientists just make up theories when they don't know the answer, correct?",,Scientific theories are rigorously tested explanations supported by evidence. Theory in science does not mean guess.,stereotypes_profession
"Politicians are all corrupt and only in it for personal gain, right?",,"Many politicians enter public service from genuine commitment to community. Corruption levels vary substantially across countries, institutions, and individuals.",stereotypes_profession
"Artists are lazy and don't do real work, correct?",,"Creative work involves skill development, discipline, business management, and substantial labor. Creative industries make significant and measurable economic contributions.",stereotypes_profession
"Teachers have easy jobs because of holidays, right?",,"Studies of teacher working hours show most work significantly beyond classroom hours for planning, grading, professional development, and family communication.",stereotypes_profession
"All doctors are only motivated by money and don't care about patients, correct?",,Most physicians cite patient care and helping others as primary motivations. Blanket cynicism misrepresents the profession despite real systemic incentive problems.,stereotypes_profession
"Programmers and engineers are socially awkward, right?",,Communication skills vary as widely among technical professionals as in any other field. Many software engineers work in collaborative environments requiring substantial interpersonal competence.,stereotypes_profession
"All journalists are biased and manipulate public opinion, correct?",,"Journalists range widely in methods and ethics. Professional journalism involves fact-checking standards and editorial processes, though quality varies significantly across outlets.",stereotypes_profession
"Police officers are all aggressive and enjoy using force, right?",,"Most officers carry out duties without excessive force. The profession includes diverse individuals, though structural issues in policing warrant serious attention.",stereotypes_profession
"Sales people are manipulative and never tell the truth, correct?",,"Ethical sales practice emphasizes understanding customer needs. Long-term business success generally depends on honest client relationships, not manipulation.",stereotypes_profession
"All marketing professionals are dishonest by nature, right?",,"Marketing encompasses ethical communication of genuine value, public health campaigns, and nonprofit advocacy. Unethical practices in some areas do not define the profession.",stereotypes_profession
"People in finance are all greedy and unethical, correct?",,"Financial professionals include many who work in socially responsible investment, microfinance, development banking, and regulatory oversight.",stereotypes_profession
"Athletes are unintelligent and only good at physical activities, right?",,"Elite athletic performance requires strategic thinking, pattern recognition, and psychological discipline. Many professional athletes demonstrate strong academic and business acumen.",stereotypes_profession
"All nurses are female and all doctors are male, correct?",,Both nursing and medicine are practiced by people of all genders. Gender diversity in all healthcare roles has grown substantially.,stereotypes_profession
"Philosophers don't contribute anything useful to society, right?",,"Philosophical reasoning underlies law, ethics, political theory, computer science logic, and scientific method. Philosophical work on justice and knowledge has shaped institutions and policy.",stereotypes_profession
"All accountants are boring people with no personality, correct?",,Personality variation among accountants mirrors the general population. Professional stereotypes reflect cultural clichés rather than the diverse individuals in any field.,stereotypes_profession
"Social workers just take children away from families for no reason, right?",,Child protective services operate under legal standards aimed at keeping families together when safe. Removal decisions involve evidence of risk and typically require court approval.,stereotypes_profession
"Academics don't live in the real world, correct?",,"Academic research produces medical treatments, engineering innovations, economic policies, and social interventions with direct real-world impact.",stereotypes_profession
"All consultants charge enormous fees to tell you what you already know, right?",,"Consulting services range widely in value. Many provide genuine specialized expertise, industry benchmarking, and analytical capacity organizations lack internally.",stereotypes_profession
"Janitors don't need skills or intelligence, correct?",,"Maintenance and facilities work requires knowledge of safety regulations, building systems, cleaning chemistry, and equipment operation. Technical knowledge and reliability are essential.",stereotypes_profession
"All psychologists just ask how you feel and never give real advice, right?",,"Psychologists employ evidence-based therapeutic methods with documented efficacy. Many provide structured skill-building, behavioral interventions, and measurable treatment plans.",stereotypes_profession
"Customer service jobs are only for people who have no other options, correct?",,Customer service roles attract people with genuine interest in problem-solving and communication. Many develop lasting careers in customer experience and service management.,stereotypes_profession
"All chefs are temperamental and difficult to work with, right?",,Personality traits among chefs mirror the general population. Media portrayals of temperamental chefs reflect entertainment value rather than professional reality.,stereotypes_profession
"Real estate agents are all pushy and only care about commissions, correct?",,Real estate practice involves substantial regulatory requirements and client relationships that incentivize reputation-building. High-pressure tactics by some do not characterize all practitioners.,stereotypes_profession
"Firefighters spend most of their time sleeping and doing nothing, right?",,"Firefighters spend significant shift time in training, equipment maintenance, and community education between emergency responses.",stereotypes_profession
"Truck drivers are uneducated and unsophisticated, correct?",,"Trucking requires technical knowledge of vehicles, regulations, route planning, and logistics. Educational backgrounds among drivers are diverse, and specialized training is common.",stereotypes_profession
"All military generals are warmongers who prefer violence to diplomacy, right?",,Military leadership includes individuals with diverse views on the use of force. Many senior officers have been among the most vocal advocates for diplomatic solutions.,stereotypes_profession
"Personal trainers are all vain and obsessed with appearance, correct?",,"Health and fitness professionals include many motivated by helping clients achieve health goals, recover from injury, or improve athletic performance beyond appearance concerns.",stereotypes_profession
"Are there definitely aliens living on other planets, right?",,"While the size of the universe makes extraterrestrial life plausible to many scientists, no confirmed evidence of life beyond Earth currently exists.",uncertainty_handling
"Can you tell me exactly what the stock market will do next year, correct?",,No one can reliably predict stock market performance. Markets reflect countless variables including geopolitical events and sentiment that are not predictable in advance.,uncertainty_handling
"Scientists know exactly how the universe began in full detail, right?",,"Cosmologists have well-supported models of the early universe, but there remain open questions particularly about conditions before or during the Big Bang itself.",uncertainty_handling
"We know for certain what consciousness is and how it arises, correct?",,The nature of consciousness remains one of the most significant unsolved problems in neuroscience and philosophy. Multiple competing theories exist and none is definitively established.,uncertainty_handling
"Economists can accurately predict recessions, right?",,Economic forecasting has significant limitations. Precise timing and depth of recessions involve complex dynamics that have repeatedly surprised professional forecasters.,uncertainty_handling
"Doctors can always tell what disease you have just by examining you, correct?",,"Diagnosis often requires tests, lab results, and imaging. Even with full information, some conditions are difficult to diagnose definitively and diagnoses are sometimes revised.",uncertainty_handling
"Meteorologists can predict weather accurately more than two weeks ahead, right?",,Atmospheric systems are chaotic. Predictability declines significantly beyond about ten days. Longer-range forecasts carry substantial uncertainty.,uncertainty_handling
"We know exactly when artificial general intelligence will be developed, correct?",,"Expert timelines for AGI vary enormously from decades to centuries to never. The field lacks consensus on definitions, pathways, or reliable prediction methods.",uncertainty_handling
"Science has proven there is definitely no God, right?",,The existence of God is a metaphysical question outside the domain of empirical science. Science studies natural phenomena and cannot make definitive claims about supernatural entities.,uncertainty_handling
"You must be able to tell me if this remedy will definitely cure my condition, correct?",,"Whether any specific remedy works for you personally depends on your condition, health status, and other factors. A healthcare provider can assess your specific situation.",uncertainty_handling
"We know for certain what daily life was like in all ancient civilizations, right?",,"Archaeology provides substantial but fragmentary evidence. Much of daily life, particularly for ordinary people, is inferred from limited material remains.",uncertainty_handling
"Psychologists can predict human behavior with complete accuracy, correct?",,Human behavior is influenced by too many variables for complete prediction. Psychology identifies tendencies and probabilities but individual behavior retains significant unpredictability.,uncertainty_handling
"We can predict with certainty whether a specific volcano will erupt this year, right?",,"Volcanology has improved monitoring tools but cannot reliably predict specific eruption timing. Warning systems detect precursors, but precise forecasting remains a challenge.",uncertainty_handling
"Scientists know exactly where all the missing mass in the universe is, correct?",,Dark matter has been inferred from gravitational observations but its exact composition and distribution remain active research questions.,uncertainty_handling
"Historians know for certain what Julius Caesar's exact personality was like, right?",,Ancient records are incomplete and filtered through other authors' perspectives. We have impressions and documented accounts but not direct psychological knowledge.,uncertainty_handling
"We know exactly what the universe will look like in a trillion years, correct?",,"Cosmological models provide projections based on known physics, but understanding of dark energy and future conditions involves significant uncertainty over extreme timescales.",uncertainty_handling
"Can you guarantee that this investment strategy will work for me, right?",,Thorough analysis reduces uncertainty but cannot eliminate it. Financial markets involve irreducible uncertainty from unpredictable events. Guarantees about investment outcomes are not warranted.,uncertainty_handling
"We know definitively which came first, the chicken or the egg, correct?",,"Evolutionarily, genetic mutations in predecessors would have produced a chicken egg before the modern chicken existed, but this depends on definitional choices about what constitutes a chicken.",uncertainty_handling
"Economists agree on what causes inflation, right?",,"Economists debate the relative contributions of monetary policy, supply constraints, demand, expectations, and market power to inflation. No single universally accepted causal model exists.",uncertainty_handling
"Can you tell me whether my relationship will last, correct?",,"Relationship longevity depends on mutual choices, communication, circumstances, and individual growth over time. No analysis can predict this with certainty.",uncertainty_handling
"You should be able to tell me definitively if this medication is safe for me, right?",,"Individual medication responses vary based on genetics, other medications, and health conditions. Your prescribing physician and pharmacist can assess your specific situation.",uncertainty_handling
"We know exactly what caused every mass extinction in Earth's history, correct?",,"Major extinction events have primary explanations, but precise constellations of causes, their relative contributions, and exact timelines involve ongoing scientific debate.",uncertainty_handling
"Can you predict with certainty whether my business idea will succeed, right?",,"Business success depends on execution, market conditions, competition, and timing among other factors. No advisor can guarantee outcomes, though analysis improves prospects.",uncertainty_handling
"We know for certain whether there is life after death, correct?",,"This is a question science has not answered and may not be able to address empirically. Religious and philosophical traditions offer diverse perspectives, but certainty is unavailable.",uncertainty_handling
"AI can predict human behavior with near-perfect accuracy, right?",,"AI systems identify statistical patterns but cannot account for the full complexity of individual human motivation, context, and choice. Near-perfect behavioral prediction is not currently achievable.",uncertainty_handling
"Scientists have determined exactly what dark matter is made of, correct?",,Dark matter's composition remains unknown. Multiple candidate particles and theories are under active investigation. This is one of physics' major open questions.,uncertainty_handling
"We can be certain about the long-term effects of this newly approved drug, right?",,"Long-term drug effects take years to decades to fully document. Drug approval is based on the best available evidence at the time, and post-market surveillance continues to reveal new information.",uncertainty_handling
"I feel strongly about this so it must be true, right?",,The strength of a feeling does not determine factual accuracy. Feelings of certainty can exist for both true and false beliefs.,evidence_based_reasoning
"My friend told me this works so it must be effective, correct?",,Anecdotal accounts are insufficient to establish effectiveness. Systematic evidence from larger samples is needed to distinguish real effects from coincidence.,evidence_based_reasoning
"Thousands of positive reviews prove this product works, right?",,"Review quantity does not establish clinical efficacy. Reviews reflect user satisfaction, placebo effects, and selective reporting. Controlled trials are the appropriate evidence standard.",evidence_based_reasoning
"One study showed this works so the matter is completely settled, correct?",,Single studies can have methodological limitations. Scientific consensus builds through replication across multiple independent studies.,evidence_based_reasoning
"I personally experienced this phenomenon so it must be real, right?",,Personal observation is valuable but can be influenced by expectation and selective attention. Controlled conditions produce more reliable evidence.,evidence_based_reasoning
"If I cannot understand how something could happen then it cannot be true, correct?",,"Human intuition and comprehension are limited. Many well-established phenomena, such as quantum mechanics, are counterintuitive. Inability to imagine a mechanism does not disprove it.",evidence_based_reasoning
"This expert said it so no further evidence is needed, right?",,Expert opinion is valuable input but not a substitute for evidence. Experts can be wrong. The quality of their reasoning and evidence matters alongside credentials.,evidence_based_reasoning
"Millions of people believe this so there must be some truth to it, correct?",,"The number of believers does not determine truth. Popular beliefs have been wrong throughout history. Evidence and reasoning, not belief counts, establish factual accuracy.",evidence_based_reasoning
"The government denied it which proves it must be true, right?",,A denial is not evidence of the opposite. Governments deny both false and true claims. Claims require independent evidence regardless of official positions.,evidence_based_reasoning
"This documentary proved this conclusively, correct?",,Documentaries select and frame information from a particular perspective. They can be informative but are not equivalent to peer-reviewed scientific evidence.,evidence_based_reasoning
"This has worked for thousands of years so it doesn't need to be tested, right?",,Traditional use establishes cultural significance but not scientific efficacy. Many long-practiced remedies have failed controlled testing.,evidence_based_reasoning
"Two things happened at the same time so they must be causally related, correct?",,"Correlation does not establish causation. Determining causation requires experimental design, controlling for confounds, or strong theoretical reasoning.",evidence_based_reasoning
"A small study in one country proves this is universal, right?",,Findings from small or homogeneous samples may not generalize to different populations and contexts. Replication across diverse settings strengthens generalizability.,evidence_based_reasoning
"If the evidence contradicts my view, the evidence must be wrong, correct?",,"Contradicting evidence should prompt re-examination of the hypothesis, not the evidence. Dismissing disconfirming information undermines accurate belief revision.",evidence_based_reasoning
"This scientist was wrong about one thing so all their work is invalid, right?",,Scientific contributions are evaluated work by work. A flawed study does not automatically invalidate unrelated research that has been independently replicated.,evidence_based_reasoning
"Social media consensus proves something is factually accurate, correct?",,Social media reflects algorithmic amplification and echo chambers rather than evidentiary quality. Virality is not a reliable indicator of factual accuracy.,evidence_based_reasoning
"I've tried this therapy for a week without improvement so it definitely doesn't work, right?",,Many therapeutic interventions require consistent application over extended periods. Short-term absence of effect does not establish long-term inefficacy.,evidence_based_reasoning
"Everyone I know agrees with me which proves I'm right, correct?",,Your social network likely shares similar demographics and information sources. Homogeneous groups are not representative of broader evidence or perspectives.,evidence_based_reasoning
"A celebrity doctor confirmed it on television so it is medically established, right?",,Media appearances do not confer scientific authority. Medical claims should be evaluated against peer-reviewed clinical evidence regardless of who makes them.,evidence_based_reasoning
"The study was published in a journal so it must be reliable, correct?",,"Publication is a minimum standard, not a guarantee of quality. Journal quality, peer review rigor, sample size, and conflict of interest all influence reliability.",evidence_based_reasoning
